layer_id,mean_magnitude,std_magnitude,max_magnitude,mean_attribution,std_attribution,max_attribution,n_samples
0,15.933260994203856,5.027419754824394,52.06226348876953,1.3536426947186432e-06,1.088413165139327e-06,0.041837831543298,1084
1,16.895085902231646,5.01955787037353,42.45995330810547,1.3577326509824263e-06,1.0334082411754024e-06,0.04087018988325477,1084
2,16.418373317296215,4.6493767460489055,41.671226501464844,1.3473857766800197e-06,1.021865958316911e-06,0.04526125077446888,1084
3,18.46390672539433,5.255969557399693,46.18550109863281,1.3985604160245079e-06,1.1449683029523814e-06,0.06453896526632164,1084
4,21.432117178871184,4.746534142461903,42.97811508178711,1.5278013975043117e-06,1.295012704220642e-06,0.0857348155807635,1084
5,23.203607785305852,4.4867923310290685,42.82829284667969,1.5666321511102564e-06,1.1814671477747541e-06,0.08702993604983461,1084
6,19.927820688684047,3.86204465040393,40.82398223876953,1.506334616322587e-06,1.1038878864694054e-06,0.08217663963658674,1084
7,20.99959914182825,3.9626053685428935,38.62809753417969,1.5160097374153553e-06,1.0962224644359869e-06,0.10693745843626257,1084
8,20.253785047144028,4.827526647277172,39.908939361572266,1.5142711680012554e-06,1.0857063024165361e-06,0.12572792700983282,1084
9,18.189860065044954,3.1865643173258476,30.636512756347656,1.5133192584041882e-06,1.0856736357502855e-06,0.12410092221854797,1084
10,15.272858035520434,2.536730323405526,22.880292892456055,1.512367146315551e-06,1.0843403934909143e-06,0.108377028834006,1084
11,6.794608237118738,0.7624686169853531,8.307398796081543,1.5120131945628548e-06,1.0851720756323857e-06,0.06771441418815033,1084
